Date;Time;Severity;TID;This;Function;Message
2025/09/16;17:30:01.383;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.392;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.401;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.406;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.417;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.420;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.434;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.434;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.434;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.447;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.451;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.461;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.467;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.474;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.484;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:01.488;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:01.500;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
